user_id,hotel_name,rating,price,near_station,restaurant,entertain,shopping_mall,convenience_store,trip_type,companion,destination
user1,Yindee Hostel Bangkok,9,1380,0.16091954,0.229885057,0.149425287,0.229885057,0.229885057,business,friend,bangkok
user1,Oneday Hostel Sukhumvit 26,9,405,0.083333333,0.333333333,0.266666667,0.2,0.116666667,business,solo,bangkok
user1,Bangkok Marriott Hotel Sukhumvit,9,16301,0.258064516,0.322580645,0.14516129,0.080645161,0.193548387,leisure,friend,bangkok
user1,Siamese Nanglinchee,9,1412,0.256410256,0.512820513,0.102564103,0.051282051,0.076923077,leisure,solo,bangkok
user1,Emporium Suites by Chatrium,8,14937,0.107142857,0.238095238,0.238095238,0.202380952,0.214285714,business,friend,bangkok
user1,On 8 Sukhumvit Nana Bangkok by Compass Hospitality,8,3599,0.130434783,0.217391304,0.217391304,0.217391304,0.217391304,leisure,family,bangkok
user1,Aurum The River Place,9,7120,0.350877193,0.350877193,0.052631579,0.122807018,0.122807018,leisure,family,bangkok
user1,Bangkok Patio,9,2100,0.354166667,0.416666667,0.041666667,0.041666667,0.145833333,business,solo,bangkok
user1,The Posh Phayathai,9,3190,0.285714286,0.285714286,0.042857143,0.142857143,0.242857143,leisure,family,bangkok
user1,Cazz Hostel,9,275,0.075,0.5,0.05,0.1,0.275,leisure,solo,bangkok
user1,Siri Sathorn Executive Serviced Residence,9,2899,0.298507463,0.298507463,0.044776119,0.119402985,0.23880597,leisure,couple,bangkok
user1,130 Hotel & Residence Bangkok,9,1200,0.132075472,0.377358491,0.132075472,0.056603774,0.301886792,business,couple,bangkok
user1,14 Residence,8,900,0.115384615,0.730769231,0,0,0.153846154,business,family,bangkok
user1,Homie Hostel & Cafe,9,400,0.125,0.277777778,0.194444444,0.125,0.277777778,leisure,solo,bangkok
user1,Adamaz House,8,1890,0.21978022,0.21978022,0.186813187,0.153846154,0.21978022,business,family,bangkok
user1,Mon Lodge & Yoga Donmueang,9,1100,0,0.8,0.12,0.04,0.04,leisure,couple,bangkok
user1,Baan Pra Nond Bed & Breakfast,9,1890,0.225,0.5,0.075,0.075,0.125,business,couple,bangkok
user1,Meet Up Hostel Bangkok,9,800,0.281690141,0.281690141,0.070422535,0.084507042,0.281690141,business,couple,bangkok
user1,ZEN Rooms Boss Prakanong,7.5,1000,0.327868852,0.327868852,0.131147541,0.06557377,0.147540984,leisure,couple,bangkok
