user_id,hotel_name,rating,price,near_station,restaurant,entertain,shopping_mall,convenience_store,trip_type,companion,destination
user1,Marunouchi Hotel,9,8248,0.215053763,0.215053763,0.161290323,0.193548387,0.215053763,leisure,couple,tokyo
user1,HOTEL MYSTAYS Haneda,9,6124,0.268292683,0.487804878,0.024390244,0,0.219512195,business,family,tokyo
user1,Richmond Hotel Premier Asakusa International,9,8166,0.134146341,0.243902439,0.158536585,0.243902439,0.219512195,business,family,tokyo
user1,Ueno First City Hotel,8,6186,0.120879121,0.21978022,0.21978022,0.21978022,0.21978022,leisure,friend,tokyo
user1,Daiwa Roynet Hotel Tokyo Akabane,9,6186,0.135135135,0.27027027,0.27027027,0.054054054,0.27027027,leisure,family,tokyo
user1,Mandarin Oriental Tokyo,9,23050,0.15942029,0.289855072,0.130434783,0.130434783,0.289855072,leisure,family,tokyo
user1,APA Hotel Shimbashi Toranomon,8,6805,0.202531646,0.253164557,0.253164557,0.037974684,0.253164557,business,friend,tokyo
user1,APA Hotel Shinagawa Sengakuji Eki-Mae,8,2134,0.142857143,0.571428571,0,0.085714286,0.2,leisure,solo,tokyo
user1,HOTEL MYSTAYS Asakusa bashi,8,4640,0.105263158,0.350877193,0.192982456,0,0.350877193,leisure,family,tokyo
user1,HOTEL MYSTAYS Ueno East,8,2870,0.076923077,0.384615385,0.096153846,0.057692308,0.384615385,leisure,solo,tokyo
user1,Hotel Kaminarimon,8.5,2134,0.180722892,0.240963855,0.108433735,0.240963855,0.228915663,business,solo,tokyo
user1,APA Hotel Keisei Ueno Ekimae,8,4021,0.166666667,0.208333333,0.208333333,0.208333333,0.208333333,business,couple,tokyo
user1,APA Hotel Ginza-Takaracho,8,3402,0.139240506,0.253164557,0.126582278,0.227848101,0.253164557,leisure,couple,tokyo
user1,APA Hotel Okachimachi Eki-Kita S,8,6681,0.166666667,0.208333333,0.208333333,0.208333333,0.208333333,leisure,friend,tokyo
user1,Hotel New Tohoku,8,4899,0.133333333,0.222222222,0.2,0.222222222,0.222222222,leisure,friend,tokyo
user1,APA Hotel Tokyo Kudanshita,7.5,5258,0.098039216,0.392156863,0.078431373,0.039215686,0.392156863,leisure,friend,tokyo
user1,Ace Inn Asakusa,8,773,0.170212766,0.425531915,0.063829787,0.042553191,0.29787234,leisure,solo,tokyo
user1,APA Hotel Nihombashi Hamacho-eki Minami,8,6496,0.25,0.555555556,0,0.027777778,0.166666667,leisure,family,tokyo
user1,E Hotel Higashi Shinjuku,7.5,6712,0.105263158,0.263157895,0.263157895,0.105263158,0.263157895,business,family,tokyo
user1,The Nell Ueno Okachimachi,8,1794,0.183673469,0.204081633,0.204081633,0.204081633,0.204081633,business,couple,tokyo
user1,Holiday View Inn,8,4640,0.115942029,0.289855072,0.231884058,0.072463768,0.289855072,leisure,couple,tokyo
user1,Koraku Garden Hotel,7.5,2372,0.055555556,0.37037037,0.111111111,0.092592593,0.37037037,business,couple,tokyo
user1,APA Hotel Shintomicho-Ekimae,8,2165,0.23880597,0.298507463,0.074626866,0.089552239,0.298507463,business,solo,tokyo
user1,APA Hotel Asakusa Kuramae,8,4949,0.235294118,0.392156863,0.019607843,0.039215686,0.31372549,business,friend,tokyo
user10,Keio Presso Inn Akasaka,9,4949,0.111111111,0.277777778,0.277777778,0.055555556,0.277777778,leisure,solo,tokyo
user10,Hotel Sunroute Asakusa,8,3402,0.13253012,0.240963855,0.144578313,0.240963855,0.240963855,leisure,couple,tokyo
user10,Hotel Sunroute Shinagawa Seaside,8,2815,0.162790698,0.465116279,0.046511628,0.046511628,0.279069767,business,couple,tokyo
user10,Forest Hongo,8,6614,0.142857143,0.571428571,0.028571429,0,0.257142857,leisure,family,tokyo
user10,Keikyu EX Inn Shinagawa,8.5,2923,0.2,0.285714286,0.142857143,0.1,0.271428571,leisure,solo,tokyo
user10,Grand Prince Hotel Takanawa,8,5365,0.272727273,0.363636364,0.090909091,0.036363636,0.236363636,leisure,couple,tokyo
user10,Smi:re Stay Tokyo,9,5089,0.171428571,0.571428571,0,0,0.257142857,business,family,tokyo
user10,Kotobuki Sou,10,10826,0.171428571,0.285714286,0.1,0.157142857,0.285714286,leisure,family,tokyo
user10,Nihonbashi Muromachi Bay Hotel,9,1237,0.217391304,0.289855072,0.086956522,0.115942029,0.289855072,leisure,solo,tokyo
user10,New Otani Inn Tokyo,8,5877,0.166666667,0.37037037,0.018518519,0.074074074,0.37037037,business,friend,tokyo
